Sample Ref,Location,TP No.,Depth,variable,value
101-3,Central Area,1,0.5,0.001,5.6
101-3,Central Area,1,0.5,0.063,34.6
101-3,Central Area,1,0.5,10.0,71.3
101-3,Central Area,1,0.5,20.0,75.6
101-3,Central Area,1,0.5,50.0,97.0
101-3,Central Area,1,0.5,63.0,100.0
101-3,Central Area,1,0.5,100.0,100.0
102-3,Central Area,1,1.0,0.001,6.5
102-3,Central Area,1,1.0,0.063,36.8
102-3,Central Area,1,1.0,10.0,77.8
102-3,Central Area,1,1.0,20.0,86.1
102-3,Central Area,1,1.0,50.0,95.1
102-3,Central Area,1,1.0,63.0,100.0
102-3,Central Area,1,1.0,100.0,100.0
103-3,Central Area,1,2.0,0.001,11.1
103-3,Central Area,1,2.0,0.063,37.5
103-3,Central Area,1,2.0,10.0,84.1
103-3,Central Area,1,2.0,20.0,92.5
103-3,Central Area,1,2.0,50.0,100.0
103-3,Central Area,1,2.0,63.0,100.0
103-3,Central Area,1,2.0,100.0,100.0
104-3,Central Area,2,0.5,0.001,9.0
104-3,Central Area,2,0.5,0.063,42.8
104-3,Central Area,2,0.5,10.0,69.4
104-3,Central Area,2,0.5,20.0,80.7
104-3,Central Area,2,0.5,50.0,93.1
104-3,Central Area,2,0.5,63.0,100.0
104-3,Central Area,2,0.5,100.0,100.0
105-3,Central Area,2,1.0,0.001,6.7
105-3,Central Area,2,1.0,0.063,34.7
105-3,Central Area,2,1.0,10.0,81.3
105-3,Central Area,2,1.0,20.0,91.6
105-3,Central Area,2,1.0,50.0,100.0
105-3,Central Area,2,1.0,63.0,100.0
105-3,Central Area,2,1.0,100.0,100.0
106-3,Central Area,2,2.0,0.001,8.6
106-3,Central Area,2,2.0,0.063,32.8
106-3,Central Area,2,2.0,10.0,75.7
106-3,Central Area,2,2.0,20.0,82.9
106-3,Central Area,2,2.0,50.0,93.4
106-3,Central Area,2,2.0,63.0,100.0
106-3,Central Area,2,2.0,100.0,100.0
107-3,Central Area,3,0.5,0.001,8.6
107-3,Central Area,3,0.5,0.063,33.8
107-3,Central Area,3,0.5,10.0,75.7
107-3,Central Area,3,0.5,20.0,83.8
107-3,Central Area,3,0.5,50.0,94.6
107-3,Central Area,3,0.5,63.0,100.0
107-3,Central Area,3,0.5,100.0,100.0
108-3,Central Area,3,1.0,0.001,12.3
108-3,Central Area,3,1.0,0.063,46.3
108-3,Central Area,3,1.0,10.0,78.6
108-3,Central Area,3,1.0,20.0,88.1
108-3,Central Area,3,1.0,50.0,100.0
108-3,Central Area,3,1.0,63.0,100.0
108-3,Central Area,3,1.0,100.0,100.0
109-3,Central Area,3,2.0,0.001,10.2
109-3,Central Area,3,2.0,0.063,34.8
109-3,Central Area,3,2.0,10.0,79.8
109-3,Central Area,3,2.0,20.0,85.5
109-3,Central Area,3,2.0,50.0,96.1
109-3,Central Area,3,2.0,63.0,100.0
109-3,Central Area,3,2.0,100.0,100.0
110-3,Central Area,4,0.5,0.001,8.4
110-3,Central Area,4,0.5,0.063,38.0
110-3,Central Area,4,0.5,10.0,64.4
110-3,Central Area,4,0.5,20.0,67.1
110-3,Central Area,4,0.5,50.0,92.6
110-3,Central Area,4,0.5,63.0,100.0
110-3,Central Area,4,0.5,100.0,100.0
111-3,Central Area,4,1.0,0.001,9.4
111-3,Central Area,4,1.0,0.063,41.7
111-3,Central Area,4,1.0,10.0,81.9
111-3,Central Area,4,1.0,20.0,86.7
111-3,Central Area,4,1.0,50.0,97.9
111-3,Central Area,4,1.0,63.0,100.0
111-3,Central Area,4,1.0,100.0,100.0
112-3,Central Area,4,2.0,0.001,8.2
112-3,Central Area,4,2.0,0.063,35.4
112-3,Central Area,4,2.0,10.0,77.9
112-3,Central Area,4,2.0,20.0,86.5
112-3,Central Area,4,2.0,50.0,100.0
112-3,Central Area,4,2.0,63.0,100.0
112-3,Central Area,4,2.0,100.0,100.0
113-3,Central Area,5,0.5,0.001,10.8
113-3,Central Area,5,0.5,0.063,33.4
113-3,Central Area,5,0.5,10.0,77.3
113-3,Central Area,5,0.5,20.0,83.4
113-3,Central Area,5,0.5,50.0,95.5
113-3,Central Area,5,0.5,63.0,100.0
113-3,Central Area,5,0.5,100.0,100.0
114-3,Central Area,5,1.0,0.001,9.9
114-3,Central Area,5,1.0,0.063,33.8
114-3,Central Area,5,1.0,10.0,71.2
114-3,Central Area,5,1.0,20.0,76.1
114-3,Central Area,5,1.0,50.0,93.2
114-3,Central Area,5,1.0,63.0,100.0
114-3,Central Area,5,1.0,100.0,100.0
115-3,Central Area,5,2.0,0.001,9.7
115-3,Central Area,5,2.0,0.063,32.2
115-3,Central Area,5,2.0,10.0,67.9
115-3,Central Area,5,2.0,20.0,76.3
115-3,Central Area,5,2.0,50.0,89.0
115-3,Central Area,5,2.0,63.0,95.2
115-3,Central Area,5,2.0,100.0,100.0
116-3,Central Area,6,0.5,0.001,11.3
116-3,Central Area,6,0.5,0.063,44.9
116-3,Central Area,6,0.5,10.0,81.8
116-3,Central Area,6,0.5,20.0,87.4
116-3,Central Area,6,0.5,50.0,97.0
116-3,Central Area,6,0.5,63.0,100.0
116-3,Central Area,6,0.5,100.0,100.0
117-3,Central Area,6,1.0,0.001,10.3
117-3,Central Area,6,1.0,0.063,30.2
117-3,Central Area,6,1.0,10.0,64.3
117-3,Central Area,6,1.0,20.0,71.0
117-3,Central Area,6,1.0,50.0,86.7
117-3,Central Area,6,1.0,63.0,89.7
117-3,Central Area,6,1.0,100.0,100.0
118-3,Central Area,6,2.0,0.001,12.0
118-3,Central Area,6,2.0,0.063,37.8
118-3,Central Area,6,2.0,10.0,78.4
118-3,Central Area,6,2.0,20.0,84.7
118-3,Central Area,6,2.0,50.0,95.3
118-3,Central Area,6,2.0,63.0,96.5
118-3,Central Area,6,2.0,100.0,100.0
119-3,Central Area,7,0.5,0.001,9.6
119-3,Central Area,7,0.5,0.063,33.2
119-3,Central Area,7,0.5,10.0,83.4
119-3,Central Area,7,0.5,20.0,89.7
119-3,Central Area,7,0.5,50.0,97.4
119-3,Central Area,7,0.5,63.0,100.0
119-3,Central Area,7,0.5,100.0,100.0
120-3,Central Area,7,1.0,0.001,10.6
120-3,Central Area,7,1.0,0.063,33.7
120-3,Central Area,7,1.0,10.0,71.3
120-3,Central Area,7,1.0,20.0,75.6
120-3,Central Area,7,1.0,50.0,97.0
120-3,Central Area,7,1.0,63.0,100.0
120-3,Central Area,7,1.0,100.0,100.0
121-3,Central Area,7,2.0,0.001,9.9
121-3,Central Area,7,2.0,0.063,33.5
121-3,Central Area,7,2.0,10.0,69.7
121-3,Central Area,7,2.0,20.0,76.3
121-3,Central Area,7,2.0,50.0,89.4
121-3,Central Area,7,2.0,63.0,94.7
121-3,Central Area,7,2.0,100.0,100.0
122-3,Central Area,8,0.5,0.001,9.1
122-3,Central Area,8,0.5,0.063,36.0
122-3,Central Area,8,0.5,10.0,76.6
122-3,Central Area,8,0.5,20.0,85.8
122-3,Central Area,8,0.5,50.0,98.5
122-3,Central Area,8,0.5,63.0,100.0
122-3,Central Area,8,0.5,100.0,100.0
123-3,Central Area,8,1.0,0.001,10.9
123-3,Central Area,8,1.0,0.063,34.4
123-3,Central Area,8,1.0,10.0,75.9
123-3,Central Area,8,1.0,20.0,86.1
123-3,Central Area,8,1.0,50.0,95.6
123-3,Central Area,8,1.0,63.0,100.0
123-3,Central Area,8,1.0,100.0,100.0
124-3,Central Area,8,2.0,0.001,7.8
124-3,Central Area,8,2.0,0.063,31.5
124-3,Central Area,8,2.0,10.0,76.3
124-3,Central Area,8,2.0,20.0,83.1
124-3,Central Area,8,2.0,50.0,93.5
124-3,Central Area,8,2.0,63.0,100.0
124-3,Central Area,8,2.0,100.0,100.0
125-3,Central Area,9,0.5,0.001,10.6
125-3,Central Area,9,0.5,0.063,34.6
125-3,Central Area,9,0.5,10.0,76.2
125-3,Central Area,9,0.5,20.0,85.4
125-3,Central Area,9,0.5,50.0,97.1
125-3,Central Area,9,0.5,63.0,100.0
125-3,Central Area,9,0.5,100.0,100.0
126-3,Central Area,9,1.0,0.001,12.8
126-3,Central Area,9,1.0,0.063,50.3
126-3,Central Area,9,1.0,10.0,84.9
126-3,Central Area,9,1.0,20.0,90.0
126-3,Central Area,9,1.0,50.0,97.4
126-3,Central Area,9,1.0,63.0,100.0
126-3,Central Area,9,1.0,100.0,100.0
127-3,Central Area,9,2.0,0.001,6.4
127-3,Central Area,9,2.0,0.063,39.5
127-3,Central Area,9,2.0,10.0,81.1
127-3,Central Area,9,2.0,20.0,87.0
127-3,Central Area,9,2.0,50.0,98.1
127-3,Central Area,9,2.0,63.0,100.0
127-3,Central Area,9,2.0,100.0,100.0
128-3,Central Area,10,0.5,0.001,9.5
128-3,Central Area,10,0.5,0.063,32.3
128-3,Central Area,10,0.5,10.0,75.1
128-3,Central Area,10,0.5,20.0,84.1
128-3,Central Area,10,0.5,50.0,97.7
128-3,Central Area,10,0.5,63.0,100.0
128-3,Central Area,10,0.5,100.0,100.0
129-3,Central Area,10,1.0,0.001,13.0
129-3,Central Area,10,1.0,0.063,40.0
129-3,Central Area,10,1.0,10.0,66.8
129-3,Central Area,10,1.0,20.0,74.8
129-3,Central Area,10,1.0,50.0,94.9
129-3,Central Area,10,1.0,63.0,100.0
129-3,Central Area,10,1.0,100.0,100.0
130-3,Central Area,10,2.0,0.001,7.0
130-3,Central Area,10,2.0,0.063,32.9
130-3,Central Area,10,2.0,10.0,81.1
130-3,Central Area,10,2.0,20.0,87.1
130-3,Central Area,10,2.0,50.0,95.2
130-3,Central Area,10,2.0,63.0,100.0
130-3,Central Area,10,2.0,100.0,100.0
131-3,Central Area,11,0.5,0.001,9.5
131-3,Central Area,11,0.5,0.063,36.3
131-3,Central Area,11,0.5,10.0,77.2
131-3,Central Area,11,0.5,20.0,83.2
131-3,Central Area,11,0.5,50.0,94.2
131-3,Central Area,11,0.5,63.0,100.0
131-3,Central Area,11,0.5,100.0,100.0
132-3,Central Area,11,1.0,0.001,6.7
132-3,Central Area,11,1.0,0.063,41.3
132-3,Central Area,11,1.0,10.0,78.9
132-3,Central Area,11,1.0,20.0,84.7
132-3,Central Area,11,1.0,50.0,95.3
132-3,Central Area,11,1.0,63.0,96.5
132-3,Central Area,11,1.0,100.0,100.0
133-3,Central Area,11,2.0,0.001,8.8
133-3,Central Area,11,2.0,0.063,38.0
133-3,Central Area,11,2.0,10.0,77.7
133-3,Central Area,11,2.0,20.0,81.3
133-3,Central Area,11,2.0,50.0,93.2
133-3,Central Area,11,2.0,63.0,100.0
133-3,Central Area,11,2.0,100.0,100.0
